===== REGRESSION TRAIN STARTED AT Sat Jul 25 20:46:05 CEST 2026 =====
device=cuda out_dir=runs/reg_6915230 steps=50000 batch=256 lr=0.0002 (JointRegressor, joint 10-frame)
building fixed validation set ...
step      0 | mse 1.1911 | lr 2.00e-07 | 0.4 it/s
step  26500 | mse 0.2204 | lr 9.47e-05 | 1.2 it/s
step  26600 | mse 0.2080 | lr 9.40e-05 | 1.2 it/s
step  26700 | mse 0.2013 | lr 9.34e-05 | 1.2 it/s
step  26800 | mse 0.2161 | lr 9.28e-05 | 1.2 it/s
step  26900 | mse 0.2467 | lr 9.21e-05 | 1.2 it/s
step  27000 | mse 0.2072 | lr 9.15e-05 | 1.2 it/s
step  27100 | mse 0.2316 | lr 9.09e-05 | 1.2 it/s
step  27200 | mse 0.2040 | lr 9.02e-05 | 1.2 it/s
step  27300 | mse 0.2127 | lr 8.96e-05 | 1.2 it/s
step  27400 | mse 0.2055 | lr 8.90e-05 | 1.2 it/s
step  27500 | mse 0.2312 | lr 8.83e-05 | 1.2 it/s
step  27600 | mse 0.1871 | lr 8.77e-05 | 1.2 it/s
step  27700 | mse 0.2145 | lr 8.71e-05 | 1.2 it/s
step  27800 | mse 0.2171 | lr 8.65e-05 | 1.2 it/s
step  27900 | mse 0.2075 | lr 8.58e-05 | 1.2 it/s
step  28000 | mse 0.2318 | lr 8.52e-05 | 1.2 it/s
  [eval] step 28000 | EMA avg NMSE -11.84 dB (step1 -17.50, step10 -8.85) | raw -11.79 dB
step  28100 | mse 0.2326 | lr 8.46e-05 | 1.2 it/s
step  28200 | mse 0.2330 | lr 8.39e-05 | 1.2 it/s
step  28300 | mse 0.2294 | lr 8.33e-05 | 1.2 it/s
step  28400 | mse 0.2218 | lr 8.27e-05 | 1.2 it/s
step  28500 | mse 0.2087 | lr 8.21e-05 | 1.2 it/s
step  28600 | mse 0.2113 | lr 8.15e-05 | 1.2 it/s
step  28700 | mse 0.2274 | lr 8.08e-05 | 1.2 it/s
step  28800 | mse 0.2346 | lr 8.02e-05 | 1.2 it/s
step  28900 | mse 0.2294 | lr 7.96e-05 | 1.2 it/s
step  29000 | mse 0.1994 | lr 7.90e-05 | 1.2 it/s
step  29100 | mse 0.2324 | lr 7.84e-05 | 1.2 it/s
step  29200 | mse 0.2159 | lr 7.77e-05 | 1.2 it/s
step  29300 | mse 0.2303 | lr 7.71e-05 | 1.2 it/s
step  29400 | mse 0.2535 | lr 7.65e-05 | 1.2 it/s
step  29500 | mse 0.2337 | lr 7.59e-05 | 1.2 it/s
step  29600 | mse 0.2266 | lr 7.53e-05 | 1.2 it/s
step  29700 | mse 0.2229 | lr 7.47e-05 | 1.2 it/s
step  29800 | mse 0.2347 | lr 7.41e-05 | 1.2 it/s
step  29900 | mse 0.2247 | lr 7.34e-05 | 1.2 it/s
step  30000 | mse 0.2180 | lr 7.28e-05 | 1.2 it/s
  [eval] step 30000 | EMA avg NMSE -11.95 dB (step1 -17.59, step10 -8.94) | raw -11.78 dB
step  30100 | mse 0.2071 | lr 7.22e-05 | 1.2 it/s
step  30200 | mse 0.2246 | lr 7.16e-05 | 1.2 it/s
step  30300 | mse 0.2002 | lr 7.10e-05 | 1.2 it/s
step  30400 | mse 0.2263 | lr 7.04e-05 | 1.2 it/s
step  30500 | mse 0.2203 | lr 6.98e-05 | 1.2 it/s
step  30600 | mse 0.2220 | lr 6.92e-05 | 1.2 it/s
step  30700 | mse 0.2165 | lr 6.86e-05 | 1.2 it/s
step  30800 | mse 0.2184 | lr 6.80e-05 | 1.2 it/s
step  30900 | mse 0.2249 | lr 6.74e-05 | 1.2 it/s
step  31000 | mse 0.2361 | lr 6.68e-05 | 1.2 it/s
step  31100 | mse 0.2038 | lr 6.62e-05 | 1.2 it/s
step  31200 | mse 0.1964 | lr 6.56e-05 | 1.2 it/s
step  31300 | mse 0.2060 | lr 6.50e-05 | 1.2 it/s
step  31400 | mse 0.2256 | lr 6.44e-05 | 1.2 it/s
step  31500 | mse 0.2285 | lr 6.38e-05 | 1.2 it/s
step  31600 | mse 0.2037 | lr 6.33e-05 | 1.2 it/s
step  31700 | mse 0.2105 | lr 6.27e-05 | 1.2 it/s
step  31800 | mse 0.2094 | lr 6.21e-05 | 1.2 it/s
step  31900 | mse 0.2009 | lr 6.15e-05 | 1.2 it/s
step  32000 | mse 0.2267 | lr 6.09e-05 | 1.2 it/s
  [eval] step 32000 | EMA avg NMSE -11.99 dB (step1 -17.64, step10 -8.98) | raw -11.97 dB
step  32100 | mse 0.2284 | lr 6.03e-05 | 1.2 it/s
step  32200 | mse 0.2049 | lr 5.98e-05 | 1.2 it/s
step  32300 | mse 0.2165 | lr 5.92e-05 | 1.2 it/s
step  32400 | mse 0.1963 | lr 5.86e-05 | 1.2 it/s
step  32500 | mse 0.1807 | lr 5.80e-05 | 1.2 it/s
step  32600 | mse 0.2405 | lr 5.75e-05 | 1.2 it/s
step  32700 | mse 0.2133 | lr 5.69e-05 | 1.2 it/s
step  32800 | mse 0.1899 | lr 5.63e-05 | 1.2 it/s
step  32900 | mse 0.2310 | lr 5.58e-05 | 1.2 it/s
step  33000 | mse 0.2139 | lr 5.52e-05 | 1.2 it/s
step  33100 | mse 0.2068 | lr 5.46e-05 | 1.2 it/s
step  33200 | mse 0.2157 | lr 5.41e-05 | 1.2 it/s
step  33300 | mse 0.2048 | lr 5.35e-05 | 1.2 it/s
step  33400 | mse 0.2207 | lr 5.30e-05 | 1.2 it/s
step  33500 | mse 0.2121 | lr 5.24e-05 | 1.2 it/s
step  33600 | mse 0.2086 | lr 5.19e-05 | 1.2 it/s
step  33700 | mse 0.1914 | lr 5.13e-05 | 1.2 it/s
step  33800 | mse 0.2005 | lr 5.08e-05 | 1.2 it/s
step  33900 | mse 0.2043 | lr 5.02e-05 | 1.2 it/s
step  34000 | mse 0.2079 | lr 4.97e-05 | 1.2 it/s
  [eval] step 34000 | EMA avg NMSE -12.07 dB (step1 -17.70, step10 -9.05) | raw -12.01 dB
step  34100 | mse 0.2134 | lr 4.91e-05 | 1.2 it/s
step  34200 | mse 0.2263 | lr 4.86e-05 | 1.2 it/s
step  34300 | mse 0.2063 | lr 4.81e-05 | 1.2 it/s
step  34400 | mse 0.2162 | lr 4.75e-05 | 1.2 it/s
step  34500 | mse 0.2166 | lr 4.70e-05 | 1.2 it/s
step  34600 | mse 0.2165 | lr 4.65e-05 | 1.2 it/s
step  34700 | mse 0.2153 | lr 4.59e-05 | 1.2 it/s
step  34800 | mse 0.2022 | lr 4.54e-05 | 1.2 it/s
