===== SEQ2SEQ (regression/large) STARTED Sun Jul 26 13:50:11 CEST 2026 =====
objective=regression size=large params=1.362M steps=50000 batch=256 lr=0.0002 norm=global_std
global-std (mu, sd) = (0.0326, 0.7064)
step      0 | loss 1.1590 | lr 2.00e-07 | 0.9 it/s
  [eval] step 32000 | EMA avg NMSE -11.61 dB (step1 -17.41, step10 -8.54)
step  32100 | loss 0.2273 | lr 6.03e-05 | 1.2 it/s
step  32200 | loss 0.2004 | lr 5.98e-05 | 1.2 it/s
step  32300 | loss 0.2130 | lr 5.92e-05 | 1.2 it/s
step  32400 | loss 0.1917 | lr 5.86e-05 | 1.2 it/s
step  32500 | loss 0.1735 | lr 5.80e-05 | 1.2 it/s
step  32600 | loss 0.2366 | lr 5.75e-05 | 1.2 it/s
step  32700 | loss 0.2082 | lr 5.69e-05 | 1.2 it/s
step  32800 | loss 0.1833 | lr 5.63e-05 | 1.2 it/s
step  32900 | loss 0.2254 | lr 5.58e-05 | 1.2 it/s
step  33000 | loss 0.2089 | lr 5.52e-05 | 1.2 it/s
step  33100 | loss 0.2043 | lr 5.46e-05 | 1.2 it/s
step  33200 | loss 0.2109 | lr 5.41e-05 | 1.2 it/s
step  33300 | loss 0.2006 | lr 5.35e-05 | 1.2 it/s
step  33400 | loss 0.2167 | lr 5.30e-05 | 1.2 it/s
step  33500 | loss 0.2067 | lr 5.24e-05 | 1.2 it/s
step  33600 | loss 0.2049 | lr 5.19e-05 | 1.2 it/s
step  33700 | loss 0.1881 | lr 5.13e-05 | 1.2 it/s
step  33800 | loss 0.1947 | lr 5.08e-05 | 1.2 it/s
step  33900 | loss 0.1963 | lr 5.02e-05 | 1.2 it/s
step  34000 | loss 0.2030 | lr 4.97e-05 | 1.2 it/s
  [eval] step 34000 | EMA avg NMSE -11.69 dB (step1 -17.48, step10 -8.61)
step  34100 | loss 0.2123 | lr 4.91e-05 | 1.2 it/s
step  34200 | loss 0.2229 | lr 4.86e-05 | 1.2 it/s
step  34300 | loss 0.1988 | lr 4.81e-05 | 1.2 it/s
step  34400 | loss 0.2160 | lr 4.75e-05 | 1.2 it/s
step  34500 | loss 0.2114 | lr 4.70e-05 | 1.2 it/s
step  34600 | loss 0.2115 | lr 4.65e-05 | 1.2 it/s
step  34700 | loss 0.2118 | lr 4.59e-05 | 1.2 it/s
step  34800 | loss 0.1954 | lr 4.54e-05 | 1.2 it/s
step  34900 | loss 0.2090 | lr 4.49e-05 | 1.2 it/s
step  35000 | loss 0.2162 | lr 4.44e-05 | 1.2 it/s
step  35100 | loss 0.2017 | lr 4.38e-05 | 1.2 it/s
step  35200 | loss 0.1948 | lr 4.33e-05 | 1.2 it/s
step  35300 | loss 0.2012 | lr 4.28e-05 | 1.2 it/s
